"genus_species","site_name","resident","broods","broodsNum","wintering","weedy","hostgenera","hostfamily","range","wingspan","extirpated","mean_dff","sd_dff","mean_dlf","sd_dlf","diet_breadth"
"Adelpha bredowii californica","Castle Peak","no","two",2,"no",0,1,1,525570.116,67,"no",189.0714286,20.27299942,199.7857143,25.02668905,"one"
"Adelpha bredowii californica","Donner Pass","no","two",2,"no",0,1,1,525570.116,67,"no",177.725,37.24829199,239.8536585,39.73446928,"one"
"Adelpha bredowii californica","Gates Canyon","yes","two",2,"larva",0,1,1,525570.116,67,"no",180.7272727,83.83446894,214.9090909,76.67914259,"one"
"Adelpha bredowii californica","Lang Crossing","yes","two",2,"larva",0,1,1,525570.116,67,"no",157.25,24.55286181,261.3181818,25.23450271,"one"
"Adelpha bredowii californica","North Sacramento","no","two",2,"no",0,1,1,525570.116,67,"no",NA,NA,NA,NA,"one"
"Adelpha bredowii californica","Rancho Cordova",NA,"two",2,NA,0,1,1,525570.116,67,"no",208.125,70.35509424,210.875,69.5566316,"one"
"Adelpha bredowii californica","Sierra Valley","no","two",2,NA,0,1,1,525570.116,67,"no",216.5,57.59774301,209.8333333,56.87676737,"one"
"Adelpha bredowii californica","Suisun Marsh","no","two",2,"no",0,1,1,525570.116,67,"no",234.2857143,70.56371656,227.1428571,63.99851189,"one"
"Adelpha bredowii californica","Washington","yes","two",2,"larva",0,1,1,525570.116,67,"no",134.09375,22.41307132,276.1290323,26.27767358,"one"
"Adelpha bredowii californica","West Sacramento","no","two",2,"no",0,1,1,525570.116,67,"no",193.5,63.8409482,194.5,63.40084121,"one"
"Agraulis vanillae","Gates Canyon","no","multiple",3,"adult",1,1,1,2235231.441,70,"no",242,79.18333158,246.25,74.99944444,"one"
"Agraulis vanillae","North Sacramento","no","multiple",3,"adult",1,1,1,2235231.441,70,"no",160.8333333,66.49515817,300.5833333,49.41927915,"one"
"Agraulis vanillae","Rancho Cordova","yes","multiple",3,"adult",1,NA,NA,2235231.441,70,"no",209.2727273,86.78489605,244,83.24421902,NA
"Agraulis vanillae","Suisun Marsh","yes","multiple",3,"adult",1,1,1,2235231.441,70,"no",197.9166667,82.32801173,225.25,93.02993164,"one"
